Feature,Importance
maxret,0.33976178246632616
retvol,0.1969479486641622
chmom,0.1778344712351406
mom6m,0.09691647661079276
baspread,0.034022375772001574
mvel1,0.025222289752678352
mom12m,0.016971083466678766
indmom,0.010762609580161387
std_turn,0.008489951034916983
idiovol,0.006655826322767328
roic,0.003961000215850729
ear,0.003487955510618826
std_dolvol,0.003239207153602361
zerotrade,0.0031427766485386576
dolvol,0.0030740544729025926
orgcap,0.0024129303956896327
ill,0.0024075593925917778
roeq,0.0021898153365398757
turn,0.0020038748219040805
operprof,0.001996737077598861
chpmia,0.001989462237070087
gma,0.001921902425141999
ep,0.0017664878697012248
mom36m,0.001761864746220929
cashdebt,0.0017519598751134424
cfp,0.0016184700963357143
roaq,0.0015635395359501463
rsup,0.0014699617278274596
sic2_58.0,0.0014265123747901481
stdacc,0.001405101188230888
sp,0.0013769613432431677
salecash,0.0013706879155943672
cinvest,0.001351130923460439
salerec,0.0013243940849022161
absacc,0.0012247256664859132
pricedelay,0.0011105895039083828
stdcf,0.0011089372128357134
roavol,0.0010714241119772047
pchgm_pchsale,0.0010379918534856537
tb,0.0010292388953820379
aeavol,0.0010199417692359617
pchcapx_ia,0.0009973075093279615
lev,0.0009865339541909838
egr,0.0009241546955588214
quick,0.0009151629194683453
bm_ia,0.000892195905746287
pchdepr,0.0008899546476692167
lgr,0.0008881494128850851
invest,0.0008397444393485613
grltnoa,0.0008342820346478437
bm,0.000820936832459161
pchcurrat,0.0008011835669395911
dy,0.0007831702813323603
rd_mve,0.000754203002553107
chatoia,0.0007414513718941
beta,0.0007181452178506501
mve_ia,0.000715016690976928
cfp_ia,0.0007075498506200039
cash,0.0006991330861203599
age,0.0006105983351466196
pchsale_pchxsga,0.0005913070477203621
betasq,0.0005825036655643744
pctacc,0.0005697859068164333
cashpr,0.0005553193729448987
chinv,0.0005531872764116259
grcapx,0.0005350520458181985
currat,0.0005292092263808764
secured,0.0005237033824627824
acc,0.0005016492798405409
sgr,0.0004916413842605923
chtx,0.00048127128052485293
pchsale_pchinvt,0.00047129283549755027
herf,0.00044919030007858587
chcsho,0.0004469230280529234
rd_sale,0.0004033775252980533
pchsaleinv,0.0003767511189670127
hire,0.0003763462747383143
ms,0.0003701264728931071
depr,0.0003612571722773953
realestate,0.0003434185312140008
pchsale_pchrect,0.0003323808111033804
pchquick,0.00030684871806120227
agr,0.00030493182215562774
tang,0.00027688062387909353
sic2_10.0,0.00027211970793651006
chempia,0.00025034486645987694
nincr,0.00022108015950659157
saleinv,0.0002113642054488061
sic2_72.0,0.00019195317058106964
sic2_26.0,0.00017585349188391816
ps,0.00016806059467601689
sic2_79.0,0.0001490430785081854
sic2_30.0,0.00013713739871625344
sic2_16.0,0.00013650906918483268
sic2_87.0,0.00011650099109855271
divi,9.489767673129176e-05
sic2_59.0,7.179028321285143e-05
sic2_75.0,5.957405489785395e-05
sic2_56.0,5.288986045583321e-05
sic2_24.0,4.711259234699638e-05
sic2_36.0,4.471435761024005e-05
sic2_12.0,4.266277604099581e-05
sic2_51.0,2.372603504170845e-05
convind,2.3714156303503188e-05
sic2_33.0,1.9051547118404243e-05
sic2_64.0,1.7352152278426728e-05
sic2_28.0,1.7307627906942426e-05
sin,0.0
divo,0.0
securedind,0.0
rd,0.0
sic2_27.0,0.0
sic2_29.0,0.0
sic2_23.0,0.0
sic2_22.0,0.0
sic2_21.0,0.0
sic2_20.0,0.0
sic2_14.0,0.0
sic2_13.0,0.0
sic2_15.0,0.0
sic2_2.0,0.0
sic2_40.0,0.0
sic2_39.0,0.0
sic2_38.0,0.0
sic2_37.0,0.0
sic2_35.0,0.0
sic2_34.0,0.0
sic2_31.0,0.0
sic2_32.0,0.0
sic2_25.0,0.0
sic2_50.0,0.0
sic2_48.0,0.0
sic2_49.0,0.0
sic2_47.0,0.0
sic2_42.0,0.0
sic2_45.0,0.0
sic2_44.0,0.0
sic2_60.0,0.0
sic2_57.0,0.0
sic2_54.0,0.0
sic2_55.0,0.0
sic2_53.0,0.0
sic2_63.0,0.0
sic2_62.0,0.0
sic2_61.0,0.0
sic2_70.0,0.0
sic2_67.0,0.0
sic2_65.0,0.0
sic2_73.0,0.0
sic2_78.0,0.0
sic2_80.0,0.0
sic2_83.0,0.0
sic2_99.0,0.0
