Model,Dataset,Avg_Return,Volatility,Sharpe_Ratio
OLS,Train,0.11786541670407526,0.08080071474583268,1.4587175011363893
OLS,Test,0.10720260279953124,0.07969369686711052,1.3451829569193146
Ridge,Train,0.11785890993819353,0.0807978862886625,1.4586880344508644
Ridge,Test,0.10720208995734375,0.07969386519270423,1.3451736805351715
Lasso,Train,0.11751670474644085,0.07962780730592682,1.4758249501326393
Lasso,Test,0.10880869390987499,0.07960910076855242,1.366787124329096
RandomForest,Train,0.10189679644792231,0.08749008743977385,1.1646667574548455
RandomForest,Test,0.08066740429659373,0.08682967789082653,0.9290303299065464
GradientBoosting,Train,0.09047283906672875,0.0806168143413489,1.1222576804343485
GradientBoosting,Test,0.07825361466125,0.08982225432297142,0.8712051957622398
NeuralNetwork,Train,0.1280452711552688,0.08642274658991535,1.481615387241238
NeuralNetwork,Test,0.11030262801856248,0.07844637894988478,1.4060894778716169
