Model,Dataset,R2,MSE,RMSE,MAE
OLS,Train,0.5071647541957531,0.0067855444729490655,0.08237441637395111,0.049285544667093735
OLS,Validation,0.605746646497789,0.003557359242616291,0.05964360185817328,0.03981318203676244
OLS,Test,0.5306743853799754,0.007736150356334009,0.08795538844399477,0.053943886493458465
Ridge,Train,0.5071646620986925,0.006785545740976678,0.08237442407068275,0.0492901862314699
Ridge,Validation,0.6057094606320922,0.003557694771742058,0.05964641457574846,0.0398171227985928
Ridge,Test,0.530669058818351,0.007736238156957552,0.08795588756278656,0.053947569949166684
Lasso,Train,0.49646426313192393,0.006932872933350711,0.08326387532027746,0.050870198097203286
Lasso,Validation,0.59503654322056,0.0036539968096634214,0.06044829864986625,0.040953017199056696
Lasso,Test,0.5243563809325045,0.007840293473255497,0.0885454316904915,0.05541106749949954
RandomForest,Train,0.4761714780252647,0.007212271773010666,0.08492509507213204,0.05917508506293335
RandomForest,Validation,0.41061645101902666,0.005318024556515787,0.07292478698299905,0.05145648726988259
RandomForest,Test,0.3385657440682899,0.010902781981887797,0.10441638751598237,0.06952786601291018
GradientBoosting,Train,0.3086564342022967,0.009518683072579626,0.09756373851272626,0.06717524958716792
GradientBoosting,Validation,0.27471957995247864,0.006544225896432881,0.08089638988504295,0.05769776846413231
GradientBoosting,Test,0.23523334285898623,0.01260606637024024,0.112276740112279,0.07611732183935611
NeuralNetwork,Train,0.6828580262526762,0.004366532193917139,0.06607974117622692,0.04151927875068461
NeuralNetwork,Validation,0.6521221577971379,0.0031389116827254164,0.05602599113559185,0.037165285100073
NeuralNetwork,Test,0.619502654701483,0.006271945493106001,0.07919561536541023,0.048850911286424076
